,home,away,date_x,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,next_day,date_y,Price,Open,High,Low,Vol.,Change %
316,Liverpool FC,Arsenal FC,2008-04-08,4,2,F,UEFA CL,Liverpool FC (England),Arsenal FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2008-04-09,2008-04-09,"5,983.90","5,990.20","6,015.60","5,947.20",,-0.11
317,Chelsea FC,Fenerbahce,2008-04-08,2,0,F,UEFA CL,Chelsea FC (England),Fenerbahce (Turkey),england,turkey,ENG,TR,Europe,Europe,Europe,international,2008-04-09,2008-04-09,"5,983.90","5,990.20","6,015.60","5,947.20",,-0.11
318,Manchester United,As Roma,2008-04-09,1,0,F,UEFA CL,Manchester United (England),As Roma (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2008-04-10,2008-04-10,"5,965.10","5,983.90","6,003.20","5,881.90",,-0.31
319,Liverpool FC,Chelsea FC,2008-04-22,1,1,F,UEFA CL,Liverpool FC (England),Chelsea FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2008-04-23,2008-04-23,"6,083.60","6,034.70","6,083.60","5,978.80",,0.81
320,FC Barcelona,Manchester United,2008-04-23,0,0,F,UEFA CL,FC Barcelona (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2008-04-24,2008-04-24,"6,050.70","6,083.60","6,083.60","5,951.90",,-0.54
321,Manchester United,FC Barcelona,2008-04-29,1,0,F,UEFA CL,Manchester United (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2008-04-30,2008-04-30,"6,087.30","6,089.40","6,120.30","6,035.80",,-0.03
322,Chelsea FC,Liverpool FC,2008-04-30,3,2,E,UEFA CL,Chelsea FC (England),Liverpool FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2008-05-01,2008-05-01,"6,087.30","6,087.30","6,118.20","6,066.00",,0.0
323,Chelsea FC,Manchester United,2008-05-21,1,1,P,UEFA CL,Chelsea FC (England),Manchester United (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2008-05-22,2008-05-22,"6,181.60","6,198.10","6,226.20","6,159.40",,-0.27
324,FC Twente,Arsenal FC,2008-08-13,0,2,F,UEFA CL,FC Twente (Netherlands),Arsenal FC (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,2008-08-14,2008-08-14,"5,497.40","5,448.60","5,539.60","5,445.60",,0.9
325,Standard Liege,Liverpool FC,2008-08-13,0,0,F,UEFA CL,Standard Liege (Belgium),Liverpool FC (England),belgium,england,BE,ENG,Europe,Europe,Europe,international,2008-08-14,2008-08-14,"5,497.40","5,448.60","5,539.60","5,445.60",,0.9
326,Arsenal FC,FC Twente,2008-08-27,4,0,F,UEFA CL,Arsenal FC (England),FC Twente (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,2008-08-28,2008-08-28,"5,601.20","5,528.10","5,634.00","5,496.90",,1.32
327,Liverpool FC,Standard Liege,2008-08-27,1,0,E,UEFA CL,Liverpool FC (England),Standard Liege (Belgium),england,belgium,ENG,BE,Europe,Europe,Europe,international,2008-08-28,2008-08-28,"5,601.20","5,528.10","5,634.00","5,496.90",,1.32
328,Chelsea FC,Girondins Bordeaux,2008-09-16,4,0,F,UEFA CL,Chelsea FC (England),Girondins Bordeaux (France),england,france,ENG,FR,Europe,Europe,Europe,international,2008-09-17,2008-09-17,"4,912.40","5,025.60","5,124.40","4,903.30",,-2.25
329,Olympique Marseille,Liverpool FC,2008-09-16,1,2,F,UEFA CL,Olympique Marseille (France),Liverpool FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,2008-09-17,2008-09-17,"4,912.40","5,025.60","5,124.40","4,903.30",,-2.25
330,Manchester United,Villarreal CF,2008-09-17,0,0,F,UEFA CL,Manchester United (England),Villarreal CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2008-09-18,2008-09-18,"4,880.00","4,912.40","5,015.90","4,860.70",,-0.66
331,Dinamo Kiev,Arsenal FC,2008-09-17,1,1,F,UEFA CL,Dinamo Kiev (Ukraine),Arsenal FC (England),ukraine,england,UA,ENG,Europe,Europe,Europe,international,2008-09-18,2008-09-18,"4,880.00","4,912.40","5,015.90","4,860.70",,-0.66
332,Aalborg Bk,Manchester United,2008-09-30,0,3,F,UEFA CL,Aalborg Bk (Denmark),Manchester United (England),denmark,england,DK,ENG,Europe,Europe,Europe,international,2008-10-01,2008-10-01,"4,959.60","4,902.50","5,012.20","4,891.50",,1.16
333,Arsenal FC,FC Porto,2008-09-30,4,0,F,UEFA CL,Arsenal FC (England),FC Porto (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2008-10-01,2008-10-01,"4,959.60","4,902.50","5,012.20","4,891.50",,1.16
334,CFr Cluj,Chelsea FC,2008-10-01,0,0,F,UEFA CL,CFr Cluj (Romania),Chelsea FC (England),romania,england,RO,ENG,Europe,Europe,Europe,international,2008-10-02,2008-10-02,"4,870.30","4,959.60","5,052.00","4,862.10",,-1.8
335,Liverpool FC,PSV Eindhoven,2008-10-01,3,1,F,UEFA CL,Liverpool FC (England),PSV Eindhoven (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,2008-10-02,2008-10-02,"4,870.30","4,959.60","5,052.00","4,862.10",,-1.8
336,Manchester United,Celtic FC,2008-10-21,3,0,F,UEFA CL,Manchester United (England),Celtic FC (Scotland),england,scotland,ENG,SCO,Europe,Europe,Europe,international,2008-10-22,2008-10-22,"4,040.90","4,229.70","4,229.70","4,031.80",,-4.46
337,Fenerbahce,Arsenal FC,2008-10-21,2,5,F,UEFA CL,Fenerbahce (Turkey),Arsenal FC (England),turkey,england,TR,ENG,Europe,Europe,Europe,international,2008-10-22,2008-10-22,"4,040.90","4,229.70","4,229.70","4,031.80",,-4.46
338,Chelsea FC,As Roma,2008-10-22,1,0,F,UEFA CL,Chelsea FC (England),As Roma (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2008-10-23,2008-10-23,"4,087.80","4,040.90","4,108.40","3,927.60",,1.16
339,Atletico Madrid,Liverpool FC,2008-10-22,1,1,F,UEFA CL,Atletico Madrid (Spain),Liverpool FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2008-10-23,2008-10-23,"4,087.80","4,040.90","4,108.40","3,927.60",,1.16
340,As Roma,Chelsea FC,2008-11-04,3,1,F,UEFA CL,As Roma (Italy),Chelsea FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2008-11-05,2008-11-05,"4,530.70","4,639.50","4,639.50","4,495.70",,-2.35
341,Liverpool FC,Atletico Madrid,2008-11-04,1,1,F,UEFA CL,Liverpool FC (England),Atletico Madrid (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2008-11-05,2008-11-05,"4,530.70","4,639.50","4,639.50","4,495.70",,-2.35
342,Celtic FC,Manchester United,2008-11-05,1,1,F,UEFA CL,Celtic FC (Scotland),Manchester United (England),scotland,england,SCO,ENG,Europe,Europe,Europe,international,2008-11-06,2008-11-06,"4,272.40","4,530.70","4,530.70","4,260.30",,-5.7
343,Arsenal FC,Fenerbahce,2008-11-05,0,0,F,UEFA CL,Arsenal FC (England),Fenerbahce (Turkey),england,turkey,ENG,TR,Europe,Europe,Europe,international,2008-11-06,2008-11-06,"4,272.40","4,530.70","4,530.70","4,260.30",,-5.7
344,Villarreal CF,Manchester United,2008-11-25,0,0,F,UEFA CL,Villarreal CF (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2008-11-26,2008-11-26,"4,152.70","4,171.30","4,198.70","4,050.70",,-0.45
345,Arsenal FC,Dinamo Kiev,2008-11-25,1,0,F,UEFA CL,Arsenal FC (England),Dinamo Kiev (Ukraine),england,ukraine,ENG,UA,Europe,Europe,Europe,international,2008-11-26,2008-11-26,"4,152.70","4,171.30","4,198.70","4,050.70",,-0.45
346,Girondins Bordeaux,Chelsea FC,2008-11-26,1,1,F,UEFA CL,Girondins Bordeaux (France),Chelsea FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,2008-11-27,2008-11-27,"4,226.10","4,152.70","4,241.70","4,152.70",,1.77
347,Liverpool FC,Olympique Marseille,2008-11-26,1,0,F,UEFA CL,Liverpool FC (England),Olympique Marseille (France),england,france,ENG,FR,Europe,Europe,Europe,international,2008-11-27,2008-11-27,"4,226.10","4,152.70","4,241.70","4,152.70",,1.77
348,Chelsea FC,CFr Cluj,2008-12-09,2,1,F,UEFA CL,Chelsea FC (England),CFr Cluj (Romania),england,romania,ENG,RO,Europe,Europe,Europe,international,2008-12-10,2008-12-10,"4,367.30","4,381.30","4,407.10","4,330.00",,-0.32
349,PSV Eindhoven,Liverpool FC,2008-12-09,1,3,F,UEFA CL,PSV Eindhoven (Netherlands),Liverpool FC (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,2008-12-10,2008-12-10,"4,367.30","4,381.30","4,407.10","4,330.00",,-0.32
350,Manchester United,Aalborg Bk,2008-12-10,2,2,F,UEFA CL,Manchester United (England),Aalborg Bk (Denmark),england,denmark,ENG,DK,Europe,Europe,Europe,international,2008-12-11,2008-12-11,"4,388.70","4,367.30","4,430.30","4,307.80",,0.49
351,FC Porto,Arsenal FC,2008-12-10,2,0,F,UEFA CL,FC Porto (Portugal),Arsenal FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,2008-12-11,2008-12-11,"4,388.70","4,367.30","4,430.30","4,307.80",,0.49
352,Arsenal FC,As Roma,2009-02-24,1,0,F,UEFA CL,Arsenal FC (England),As Roma (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2009-02-25,2009-02-25,"3,849.00","3,816.40","3,884.10","3,803.90",,0.85
353,Inter,Manchester United,2009-02-24,0,0,F,UEFA CL,Inter (Italy),Manchester United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2009-02-25,2009-02-25,"3,849.00","3,816.40","3,884.10","3,803.90",,0.85
354,Chelsea FC,Juventus,2009-02-25,1,0,F,UEFA CL,Chelsea FC (England),Juventus (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2009-02-26,2009-02-26,"3,915.60","3,849.00","3,948.20","3,849.00",,1.73
355,Real Madrid,Liverpool FC,2009-02-25,0,1,F,UEFA CL,Real Madrid (Spain),Liverpool FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2009-02-26,2009-02-26,"3,915.60","3,849.00","3,948.20","3,849.00",,1.73
356,Juventus,Chelsea FC,2009-03-10,2,2,F,UEFA CL,Juventus (Italy),Chelsea FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2009-03-11,2009-03-11,"3,693.80","3,715.20","3,763.20","3,652.00",,-0.58
357,Liverpool FC,Real Madrid,2009-03-10,4,0,F,UEFA CL,Liverpool FC (England),Real Madrid (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2009-03-11,2009-03-11,"3,693.80","3,715.20","3,763.20","3,652.00",,-0.58
358,As Roma,Arsenal FC,2009-03-11,1,0,P,UEFA CL,As Roma (Italy),Arsenal FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2009-03-12,2009-03-12,"3,712.10","3,693.80","3,725.60","3,616.50",,0.5
359,Manchester United,Inter,2009-03-11,2,0,F,UEFA CL,Manchester United (England),Inter (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2009-03-12,2009-03-12,"3,712.10","3,693.80","3,725.60","3,616.50",,0.5
360,Villarreal CF,Arsenal FC,2009-04-07,1,1,F,UEFA CL,Villarreal CF (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2009-04-08,2009-04-08,"3,925.50","3,930.50","3,940.40","3,876.10",,-0.13
361,Manchester United,FC Porto,2009-04-07,2,2,F,UEFA CL,Manchester United (England),FC Porto (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2009-04-08,2009-04-08,"3,925.50","3,930.50","3,940.40","3,876.10",,-0.13
362,Liverpool FC,Chelsea FC,2009-04-08,1,3,F,UEFA CL,Liverpool FC (England),Chelsea FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2009-04-09,2009-04-09,"3,983.70","3,925.50","3,986.30","3,912.00",,1.48
363,Chelsea FC,Liverpool FC,2009-04-14,4,4,F,UEFA CL,Chelsea FC (England),Liverpool FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2009-04-15,2009-04-15,"3,968.40","3,989.00","4,023.40","3,941.60",,-0.52
364,Arsenal FC,Villarreal CF,2009-04-15,3,0,F,UEFA CL,Arsenal FC (England),Villarreal CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2009-04-16,2009-04-16,"4,053.00","3,968.40","4,053.00","3,963.60",,2.13
365,FC Porto,Manchester United,2009-04-15,0,1,F,UEFA CL,FC Porto (Portugal),Manchester United (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,2009-04-16,2009-04-16,"4,053.00","3,968.40","4,053.00","3,963.60",,2.13
366,FC Barcelona,Chelsea FC,2009-04-28,0,0,F,UEFA CL,FC Barcelona (Spain),Chelsea FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2009-04-29,2009-04-29,"4,189.60","4,096.40","4,193.30","4,089.50",,2.28
367,Manchester United,Arsenal FC,2009-04-29,1,0,F,UEFA CL,Manchester United (England),Arsenal FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2009-04-30,2009-04-30,"4,243.70","4,189.60","4,293.60","4,189.60",,1.29
368,Arsenal FC,Manchester United,2009-05-05,1,3,F,UEFA CL,Arsenal FC (England),Manchester United (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2009-05-06,2009-05-06,"4,396.50","4,336.90","4,437.60","4,317.00",,1.37
369,Chelsea FC,FC Barcelona,2009-05-06,1,1,F,UEFA CL,Chelsea FC (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2009-05-07,2009-05-07,"4,398.70","4,396.50","4,520.80","4,380.30",,0.05
370,FC Barcelona,Manchester United,2009-05-27,2,0,F,UEFA CL,FC Barcelona (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2009-05-28,2009-05-28,"4,387.50","4,416.20","4,416.20","4,341.10",,-0.65
371,Celtic FC,Arsenal FC,2009-08-18,0,2,F,UEFA CL,Celtic FC (Scotland),Arsenal FC (England),scotland,england,SCO,ENG,Europe,Europe,Europe,international,2009-08-19,2009-08-19,"4,689.70","4,685.80","4,698.50","4,625.40",,0.08
372,Arsenal FC,Celtic FC,2009-08-26,3,1,F,UEFA CL,Arsenal FC (England),Celtic FC (Scotland),england,scotland,ENG,SCO,Europe,Europe,Europe,international,2009-08-27,2009-08-27,"4,869.40","4,890.60","4,906.20","4,855.30",,-0.43
373,Besiktas,Manchester United,2009-09-15,0,1,F,UEFA CL,Besiktas (Turkey),Manchester United (England),turkey,england,TR,ENG,Europe,Europe,Europe,international,2009-09-16,2009-09-16,"5,124.10","5,042.10","5,131.30","5,042.10",,1.63
374,Chelsea FC,FC Porto,2009-09-15,1,0,F,UEFA CL,Chelsea FC (England),FC Porto (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2009-09-16,2009-09-16,"5,124.10","5,042.10","5,131.30","5,042.10",,1.63
375,Liverpool FC,Debreceni Vsc,2009-09-16,1,0,F,UEFA CL,Liverpool FC (England),Debreceni Vsc (Hungary),england,hungary,ENG,HU,Europe,Europe,Europe,international,2009-09-17,2009-09-17,"5,164.00","5,124.10","5,173.10","5,124.10",,0.78
376,Standard Liege,Arsenal FC,2009-09-16,2,3,F,UEFA CL,Standard Liege (Belgium),Arsenal FC (England),belgium,england,BE,ENG,Europe,Europe,Europe,international,2009-09-17,2009-09-17,"5,164.00","5,124.10","5,173.10","5,124.10",,0.78
377,Acf Fiorentina,Liverpool FC,2009-09-29,2,0,F,UEFA CL,Acf Fiorentina (Italy),Liverpool FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2009-09-30,2009-09-30,"5,133.90","5,159.70","5,190.00","5,092.80",,-0.5
378,Arsenal FC,Olympiakos Piraeus,2009-09-29,2,0,F,UEFA CL,Arsenal FC (England),Olympiakos Piraeus (Greece),england,greece,ENG,GR,Europe,Europe,Europe,international,2009-09-30,2009-09-30,"5,133.90","5,159.70","5,190.00","5,092.80",,-0.5
379,Apoel Nikosia,Chelsea FC,2009-09-30,0,1,F,UEFA CL,Apoel Nikosia (Cyprus),Chelsea FC (England),cyprus,england,CY,ENG,Europe,Europe,Europe,international,2009-10-01,2009-10-01,"5,047.80","5,133.90","5,164.40","5,044.00",,-1.68
380,Manchester United,Vfl Wolfsburg,2009-09-30,2,1,F,UEFA CL,Manchester United (England),Vfl Wolfsburg (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2009-10-01,2009-10-01,"5,047.80","5,133.90","5,164.40","5,044.00",,-1.68
381,Liverpool FC,Olympique Lyon,2009-10-20,1,2,F,UEFA CL,Liverpool FC (England),Olympique Lyon (France),england,france,ENG,FR,Europe,Europe,Europe,international,2009-10-21,2009-10-21,"5,257.90","5,243.40","5,268.00","5,174.50",,0.28
382,AZ Alkmaar,Arsenal FC,2009-10-20,1,1,F,UEFA CL,AZ Alkmaar (Netherlands),Arsenal FC (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,2009-10-21,2009-10-21,"5,257.90","5,243.40","5,268.00","5,174.50",,0.28
383,CSka Moskva,Manchester United,2009-10-21,0,1,F,UEFA CL,CSka Moskva (Russia),Manchester United (England),russia,england,RU,ENG,Europe,Europe,Europe,international,2009-10-22,2009-10-22,"5,207.40","5,257.90","5,257.90","5,166.50",,-0.96
384,Chelsea FC,Atletico Madrid,2009-10-21,4,0,F,UEFA CL,Chelsea FC (England),Atletico Madrid (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2009-10-22,2009-10-22,"5,207.40","5,257.90","5,257.90","5,166.50",,-0.96
385,Manchester United,CSka Moskva,2009-11-03,3,3,F,UEFA CL,Manchester United (England),CSka Moskva (Russia),england,russia,ENG,RU,Europe,Europe,Europe,international,2009-11-04,2009-11-04,"5,107.90","5,037.20","5,120.80","5,037.20",,1.4
386,Atletico Madrid,Chelsea FC,2009-11-03,2,2,F,UEFA CL,Atletico Madrid (Spain),Chelsea FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2009-11-04,2009-11-04,"5,107.90","5,037.20","5,120.80","5,037.20",,1.4
387,Olympique Lyon,Liverpool FC,2009-11-04,1,1,F,UEFA CL,Olympique Lyon (France),Liverpool FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,2009-11-05,2009-11-05,"5,125.60","5,107.10","5,154.60","5,036.90",,0.35
388,Arsenal FC,AZ Alkmaar,2009-11-04,4,1,F,UEFA CL,Arsenal FC (England),AZ Alkmaar (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,2009-11-05,2009-11-05,"5,125.60","5,107.10","5,154.60","5,036.90",,0.35
389,Debreceni Vsc,Liverpool FC,2009-11-24,0,1,F,UEFA CL,Debreceni Vsc (Hungary),Liverpool FC (England),hungary,england,HU,ENG,Europe,Europe,Europe,international,2009-11-25,2009-11-25,"5,364.80","5,324.00","5,372.20","5,324.00",,0.77
390,Arsenal FC,Standard Liege,2009-11-24,2,0,F,UEFA CL,Arsenal FC (England),Standard Liege (Belgium),england,belgium,ENG,BE,Europe,Europe,Europe,international,2009-11-25,2009-11-25,"5,364.80","5,324.00","5,372.20","5,324.00",,0.77
391,Manchester United,Besiktas,2009-11-25,0,1,F,UEFA CL,Manchester United (England),Besiktas (Turkey),england,turkey,ENG,TR,Europe,Europe,Europe,international,2009-11-26,2009-11-26,"5,194.10","5,364.80","5,364.80","5,189.40",,-3.18
392,FC Porto,Chelsea FC,2009-11-25,0,1,F,UEFA CL,FC Porto (Portugal),Chelsea FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,2009-11-26,2009-11-26,"5,194.10","5,364.80","5,364.80","5,189.40",,-3.18
393,Vfl Wolfsburg,Manchester United,2009-12-08,1,3,F,UEFA CL,Vfl Wolfsburg (Germany),Manchester United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2009-12-09,2009-12-09,"5,203.90","5,223.10","5,245.90","5,175.70",,-0.37
394,Chelsea FC,Apoel Nikosia,2009-12-08,2,2,F,UEFA CL,Chelsea FC (England),Apoel Nikosia (Cyprus),england,cyprus,ENG,CY,Europe,Europe,Europe,international,2009-12-09,2009-12-09,"5,203.90","5,223.10","5,245.90","5,175.70",,-0.37
395,Liverpool FC,Acf Fiorentina,2009-12-09,1,2,F,UEFA CL,Liverpool FC (England),Acf Fiorentina (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2009-12-10,2009-12-10,"5,244.40","5,203.90","5,254.50","5,194.50",,0.78
396,Olympiakos Piraeus,Arsenal FC,2009-12-09,1,0,F,UEFA CL,Olympiakos Piraeus (Greece),Arsenal FC (England),greece,england,GR,ENG,Europe,Europe,Europe,international,2009-12-10,2009-12-10,"5,244.40","5,203.90","5,254.50","5,194.50",,0.78
397,AC Milan,Manchester United,2010-02-16,2,3,F,UEFA CL,AC Milan (Italy),Manchester United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2010-02-17,2010-02-17,"5,276.60","5,244.10","5,304.50","5,244.10",,0.62
398,FC Porto,Arsenal FC,2010-02-17,2,1,F,UEFA CL,FC Porto (Portugal),Arsenal FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,2010-02-18,2010-02-18,"5,325.10","5,276.60","5,326.40","5,261.70",,0.92
399,Inter,Chelsea FC,2010-02-24,2,1,F,UEFA CL,Inter (Italy),Chelsea FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2010-02-25,2010-02-25,"5,278.20","5,342.90","5,370.40","5,259.70",,-1.21
400,Arsenal FC,FC Porto,2010-03-09,5,0,F,UEFA CL,Arsenal FC (England),FC Porto (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2010-03-10,2010-03-10,"5,640.60","5,602.30","5,645.30","5,585.40",,0.68
401,Manchester United,AC Milan,2010-03-10,4,0,F,UEFA CL,Manchester United (England),AC Milan (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2010-03-11,2010-03-11,"5,617.30","5,640.60","5,642.90","5,594.70",,-0.41
402,Chelsea FC,Inter,2010-03-16,0,1,F,UEFA CL,Chelsea FC (England),Inter (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2010-03-17,2010-03-17,"5,644.60","5,620.40","5,657.80","5,620.40",,0.43
403,Bayern Muenchen,Manchester United,2010-03-30,2,1,F,UEFA CL,Bayern Muenchen (Germany),Manchester United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2010-03-31,2010-03-31,"5,679.60","5,672.30","5,698.50","5,646.30",,0.13
404,Arsenal FC,FC Barcelona,2010-03-31,2,2,F,UEFA CL,Arsenal FC (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2010-04-01,2010-04-01,"5,744.90","5,679.60","5,744.90","5,679.50",,1.15
405,FC Barcelona,Arsenal FC,2010-04-06,4,1,F,UEFA CL,FC Barcelona (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2010-04-07,2010-04-07,"5,762.10","5,780.40","5,782.30","5,753.40",,-0.32
406,Manchester United,Bayern Muenchen,2010-04-07,3,2,F,UEFA CL,Manchester United (England),Bayern Muenchen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2010-04-08,2010-04-08,"5,712.70","5,762.10","5,762.10","5,684.50",,-0.86
407,Bsc Young Boys,Tottenham Hotspur,2010-08-17,3,2,F,UEFA CL,Bsc Young Boys (Switzerland),Tottenham Hotspur (England),switzerland,england,CH,ENG,Europe,Europe,Europe,international,2010-08-18,2010-08-18,"5,302.87","5,326.40","5,331.30","5,294.80",,-0.89
408,Tottenham Hotspur,Bsc Young Boys,2010-08-25,4,0,F,UEFA CL,Tottenham Hotspur (England),Bsc Young Boys (Switzerland),england,switzerland,ENG,CH,Europe,Europe,Europe,international,2010-08-26,2010-08-26,"5,155.84","5,146.90","5,168.80","5,125.30",,0.75
409,Werder Bremen,Tottenham Hotspur,2010-09-14,2,2,F,UEFA CL,Werder Bremen (Germany),Tottenham Hotspur (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2010-09-15,2010-09-15,"5,557.07","5,572.50","5,579.30","5,534.80",,-0.19
410,Manchester United,Rangers FC,2010-09-14,0,0,F,UEFA CL,Manchester United (England),Rangers FC (Scotland),england,scotland,ENG,SCO,Europe,Europe,Europe,international,2010-09-15,2010-09-15,"5,557.07","5,572.50","5,579.30","5,534.80",,-0.19
411,MSk Zilina,Chelsea FC,2010-09-15,1,4,F,UEFA CL,MSk Zilina (Slovakia),Chelsea FC (England),slovakia,england,SK,ENG,Europe,Europe,Europe,international,2010-09-16,2010-09-16,"5,540.14","5,552.30","5,565.50","5,533.00",,-0.3
412,Arsenal FC,Sporting Braga,2010-09-15,6,0,F,UEFA CL,Arsenal FC (England),Sporting Braga (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2010-09-16,2010-09-16,"5,540.14","5,552.30","5,565.50","5,533.00",,-0.3
413,Chelsea FC,Olympique Marseille,2010-09-28,2,0,F,UEFA CL,Chelsea FC (England),Olympique Marseille (France),england,france,ENG,FR,Europe,Europe,Europe,international,2010-09-29,2010-09-29,"5,569.27","5,606.00","5,625.80","5,542.50",,-0.16
414,Partizan,Arsenal FC,2010-09-28,1,3,F,UEFA CL,Partizan (Serbia),Arsenal FC (England),serbia,england,RS,ENG,Europe,Europe,Europe,international,2010-09-29,2010-09-29,"5,569.27","5,606.00","5,625.80","5,542.50",,-0.16
415,Tottenham Hotspur,FC Twente,2010-09-29,4,1,F,UEFA CL,Tottenham Hotspur (England),FC Twente (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,2010-09-30,2010-09-30,"5,548.62","5,551.80","5,653.50","5,537.50",,-0.37
416,Valencia CF,Manchester United,2010-09-29,0,1,F,UEFA CL,Valencia CF (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2010-09-30,2010-09-30,"5,548.62","5,551.80","5,653.50","5,537.50",,-0.37
417,Spartak Moskva,Chelsea FC,2010-10-19,0,2,F,UEFA CL,Spartak Moskva (Russia),Chelsea FC (England),russia,england,RU,ENG,Europe,Europe,Europe,international,2010-10-20,2010-10-20,"5,728.93","5,684.40","5,730.50","5,678.50",,0.44
418,Arsenal FC,Shakhtar Donetsk,2010-10-19,5,1,F,UEFA CL,Arsenal FC (England),Shakhtar Donetsk (Ukraine),england,ukraine,ENG,UA,Europe,Europe,Europe,international,2010-10-20,2010-10-20,"5,728.93","5,684.40","5,730.50","5,678.50",,0.44
419,Inter,Tottenham Hotspur,2010-10-20,4,3,F,UEFA CL,Inter (Italy),Tottenham Hotspur (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2010-10-21,2010-10-21,"5,757.86","5,709.50","5,787.50","5,696.80",,0.5
420,Manchester United,Bursaspor,2010-10-20,1,0,F,UEFA CL,Manchester United (England),Bursaspor (Turkey),england,turkey,ENG,TR,Europe,Europe,Europe,international,2010-10-21,2010-10-21,"5,757.86","5,709.50","5,787.50","5,696.80",,0.5
421,Tottenham Hotspur,Inter,2010-11-02,3,1,F,UEFA CL,Tottenham Hotspur (England),Inter (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2010-11-03,2010-11-03,"5,748.97","5,762.20","5,773.30","5,728.30",,-0.15
