,home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter,Price,Open,High,Low,Vol.,Change %,next_day
43534,Arsenal FC,Deportivo La Coruna,2002-03-12,0.0,2.0,F,UEFA CL,Arsenal FC (England),Deportivo La Coruna (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,252.50","5,258.90","5,258.90","5,200.60",,-0.12,2002-03-13
43551,Juventus,Arsenal FC,2002-03-20,1.0,0.0,F,UEFA CL,Juventus (Italy),Arsenal FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,266.90","5,316.10","5,316.10","5,253.50",,-0.93,2002-03-21
43590,Bayer Leverkusen,Liverpool FC,2002-04-09,4.0,2.0,F,UEFA CL,Bayer Leverkusen (Germany),Liverpool FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,179.60","5,178.60","5,213.20","5,164.60",,0.02,2002-04-10
43646,Aston Villa,Lille OSC,2002-08-07,0.0,2.0,F,UEFA ITC,Aston Villa (England),Lille OSC (France),england,france,ENG,FR,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,094.40","4,131.00","4,206.90","4,069.00",,-0.89,2002-08-08
43648,Zalaegerszegi Te,Manchester United,2002-08-13,1.0,0.0,F,UEFA CL,Zalaegerszegi Te (Hungary),Manchester United (England),hungary,england,HU,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,271.70","4,221.60","4,271.70","4,162.50",,1.19,2002-08-14
43714,Valencia CF,Liverpool FC,2002-09-17,2.0,0.0,F,UEFA CL,Valencia CF (Spain),Liverpool FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,025.10","4,044.30","4,150.20","4,014.70",,-0.47,2002-09-18
43715,Dinamo Kiev,Newcastle United,2002-09-18,2.0,0.0,F,UEFA CL,Dinamo Kiev (Ukraine),Newcastle United (England),ukraine,england,UA,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,865.40","4,025.10","4,025.10","3,865.40",,-3.97,2002-09-19
43732,Newcastle United,Feyenoord,2002-09-24,0.0,1.0,F,UEFA CL,Newcastle United (England),Feyenoord (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,671.10","3,739.40","3,761.10","3,609.90",,-1.83,2002-09-25
43746,Juventus,Newcastle United,2002-10-01,2.0,0.0,F,UEFA CL,Juventus (Italy),Newcastle United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,797.40","3,721.80","3,806.40","3,690.40",,2.03,2002-10-02
43751,Viking FK,Chelsea FC,2002-10-03,4.0,2.0,F,UEFA EL,Viking FK (Norway),Chelsea FC (England),norway,england,NO,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,880.30","3,905.20","3,961.50","3,855.50",,-0.64,2002-10-04
43775,Arsenal FC,Aj Auxerre,2002-10-22,1.0,2.0,F,UEFA CL,Arsenal FC (England),Aj Auxerre (France),england,france,ENG,FR,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,118.90","4,133.80","4,184.60","4,108.80",,-0.36,2002-10-23
43791,Maccabi Haifa,Manchester United,2002-10-29,3.0,0.0,F,UEFA CL,Maccabi Haifa (Israel),Manchester United (England),israel,england,IL,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,935.90","4,090.50","4,090.50","3,919.40",,-3.78,2002-10-30
43792,Borussia Dortmund,Arsenal FC,2002-10-30,2.0,1.0,F,UEFA CL,Borussia Dortmund (Germany),Arsenal FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,002.70","3,935.90","4,002.70","3,934.60",,1.7,2002-10-31
43793,Liverpool FC,Valencia CF,2002-10-30,0.0,1.0,F,UEFA CL,Liverpool FC (England),Valencia CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,002.70","3,935.90","4,002.70","3,934.60",,1.7,2002-10-31
43797,Celtic FC,Blackburn Rovers,2002-10-31,1.0,0.0,F,UEFA EL,Celtic FC (Scotland),Blackburn Rovers (England),scotland,england,SCO,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,039.70","4,002.70","4,073.00","3,978.70",,0.92,2002-11-01
43822,Slovan Liberec,Ipswich Town,2002-11-14,1.0,0.0,P,UEFA EL,Slovan Liberec (Czech Republic),Ipswich Town (England),czech-republic,england,CZ,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,053.10","4,029.40","4,064.00","3,985.40",,0.59,2002-11-15
43825,Blackburn Rovers,Celtic FC,2002-11-14,0.0,2.0,F,UEFA EL,Blackburn Rovers (England),Celtic FC (Scotland),england,scotland,ENG,SCO,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,053.10","4,029.40","4,064.00","3,985.40",,0.59,2002-11-15
43847,Newcastle United,Inter,2002-11-27,1.0,4.0,F,UEFA CL,Newcastle United (England),Inter (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,144.20","4,071.00","4,146.20","4,060.90",,1.8,2002-11-28
43851,Hertha BSC Berlin,Fulham FC,2002-11-28,2.0,1.0,F,UEFA EL,Hertha BSC Berlin (Germany),Fulham FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,185.40","4,144.20","4,202.20","4,138.90",,0.99,2002-11-29
43873,FC Barcelona,Newcastle United,2002-12-11,3.0,1.0,F,UEFA CL,FC Barcelona (Spain),Newcastle United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,974.90","3,925.00","3,995.00","3,919.90",,1.27,2002-12-12
43876,Leeds United,Malaga CF,2002-12-12,1.0,2.0,F,UEFA EL,Leeds United (England),Malaga CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,935.30","3,974.90","3,982.30","3,916.00",,-1.0,2002-12-13
44021,Deportivo La Coruna,Manchester United,2003-03-18,2.0,0.0,F,UEFA CL,Deportivo La Coruna (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,747.30","3,722.30","3,810.80","3,714.00",,0.67,2003-03-19
44022,Newcastle United,FC Barcelona,2003-03-19,0.0,2.0,F,UEFA CL,Newcastle United (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,765.40","3,747.30","3,828.30","3,716.50",,0.48,2003-03-20
44023,Valencia CF,Arsenal FC,2003-03-19,2.0,1.0,F,UEFA CL,Valencia CF (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,765.40","3,747.30","3,828.30","3,716.50",,0.48,2003-03-20
44024,Liverpool FC,Celtic FC,2003-03-20,0.0,2.0,F,UEFA EL,Liverpool FC (England),Celtic FC (Scotland),england,scotland,ENG,SCO,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,765.70","3,765.40","3,790.70","3,715.80",,0.01,2003-03-21
44045,Real Madrid,Manchester United,2003-04-08,3.0,1.0,F,UEFA CL,Real Madrid (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,868.80","3,935.80","3,935.80","3,868.50",,-1.7,2003-04-09
